,Question ID,Original question,Suggested fixed question,Comment,Error Category
5,94.0,"List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary?","List out the account numbers of female clients who are oldest and have lowest average salary, also calculate and list the gap between this lowest average salary with the highest average salary?",Changed formulation of question. Improved English and removed ambiguity. Removed LIMIT 1 at the end of the SQL query. ,"1, 2, 3"
12,101.0,List out the accounts who have the earliest trading date in 1995 ?,List out the accounts IDs of the accounts who have the earliest trading date in 1995 ?,The question now asks to list out the account IDs instead of list the accounts. Removed column ambiguity,2
23,112.0,"For the female client who was born in 1976/1/29, which district did she opened her account?","For the female client who was born in 1976/1/29, what is the name of the district where she opened her account?",Improved the english and changed question so that it specifically asks for the name of the district rather than just which district,"1, 2"
25,114.0,"For the first client who opened his/her account in Prague, what is his/her account ID?",What is the account ID of the first account opened in Prague?,Removed column ambiguity,2
44,133.0,"In 1996, which districts have the highest unemployment rate? List their branch location and district name.","In 1996, what were the district ids of the districts that had the highest unemployment rate? List their branch location and district name.",Column ambiguity. Changed “which districts have the” to “what were the district ids of the districts that had”,2
52,141.0,"Which districts have transactions greater than USS$10,000 in 1997?","What are the district ids of the districts that had a transaction greater greater than USS$10,000 in 1997?",Column ambiguity. Changed “Which districts” to “What are the district ids of the districts “,2
70,159.0,List all the withdrawals in cash transactions that the client with the id 3356 makes.,List the transaction ID for all withdrawals in cash transactions that the client with the id 3356 makes.,Specified that it should return transaction ID,2
73,162.0,What is the region of the client with the id 3541 from?,What is the name of the region which the client with the id 3541 is from?,"Fixed column ambiguity in question by changing it to  ""what is the name of the region"". Changed gold query to match this. ","1, 2"
74,163.0,Which district has the most accounts with loan contracts finished with no problems?,What is the district id of the district that has the most accounts with loan contracts finished with no problems?,Fixced ambiguity and syntactical error. Changed “which district” to “What is the district id of the district that”,"1, 2"
75,164.0,Who placed the order with the id 32423?,What is the client ID of the client that placed the order with the ID 32423?,"Replaced “who” to “what is the client id of the client"" in the question. Fixed the joins in the gold SQL query. ","1, 2, 3"
76,165.0,Please list all the transactions made by accounts from district 5.,Please list all the transaction IDs made by accounts from district 5.,Fixed column ambiguity. Changed “transactions” to “transaction ids” in the question. ,2
81,170.0,How many credit card withdrawals were recorded after 1995?,"How many credit card withdrawals were recorded starting from January 1, 1996?","Fixed date ambiguity. Changed “after 1995” to starting from January 1, 1996”",2
84,173.0,How often does account number 3 request an account statement to be released? What was the aim of debiting 3539 in total?,How often does account number 3 request an account statement to be released? What was the purpose of debiting 3539 in total?,"Changed question from ""aim"" to ""purpose"", to match the wordings in the database descriptions. Synonym problem. ",4
88,177.0,"What is the sum that client number 4's account has following transaction 851? Who owns this account, a man or a woman?","What is the balance of client number 4's account following transaction 851? Who owns this account, a man or a woman?",Fixed syntactical error in question. Fixed query so that it matches client and account through the disp table and not through district_id,"3, 4"
90,179.0,"How much, in total, did client number 617 pay for all of the transactions in 1998?",What is the total amount of all the transactions that client number 617 did in 1998?,Fixed ambiguity in question. Fixed query so that it matches client and account through the disp table and not through district_id,"2, 3"
91,180.0,"Please provide a list of clients who were born between 1983 and 1987 and whose account branch is in East Bohemia, along with their IDs.",Please list the client IDs of clients who were born between 1983 and 1987 and whose account branch is in east Bohemia.,"Changed ""East"" to ""east"" to match value in database. Fixed column ambiguity, now asks for a specific column. Fixed query so that it matches client and account through the disp table and not through district_id","2, 3, 5"
93,182.0,How many male customers who were born between 1974 and 1976 have made a payment on their home in excess of $4000?,How many male clients who were born between 1974 and 1976 have made a payment on their home in excess of $4000?,"Changed ""customer"" to ""client"" in question. Fixed query so that it matches client and account through the disp table and not through district_id","2, 3"
99,188.0,"Among the accounts who have loan validity more than 24 months, list out the accounts that have the lowest approved amount and have account opening date before 1997.","Among the accounts with a loan validity period exceeding 24 months, which account id has the lowest approved amount and was opened before 1997?",Fixed syntactical errors in question and removed column ambiguity (changed “list out the accounts” to “which account id”). ,"1, 2"
104,193.0,List all ID and district for clients that can only have the right to issue permanent orders or apply for loans.,"List all district ids , district names and client ids for the clients that can only have the right to issue permanent orders or apply for loans","Fixed column ambiguity. SQL query and question did not depict the same information, so changed question to align with the gold query. Changed: “List all ID and district for clients that” to “List all district names, district ids and client ids for the clients that”","2, 3"
